t_depart,hour,k,distance,objective_cost,survival,nodes_explored,runtime_ms
0,0.0,1,4450.0000,18.714144,0.170236,1337,100.2
0,0.0,2,4450.0000,18.714144,0.170236,1339,102.7
0,0.0,4,4450.0000,18.714144,0.170236,1339,101.2
0,0.0,8,4450.0000,18.714144,0.170236,1339,94.1
0,0.0,16,4450.0000,18.714144,0.170236,1339,95.3
0,0.0,32,4450.0000,18.714144,0.170236,1339,95.3
0,0.0,64,4450.0000,18.714144,0.170236,1339,95.7
0,0.0,128,4450.0000,18.714144,0.170236,1339,95.3
24,12.0,1,4996.9209,21.027764,0.194810,50357,13605.4
24,12.0,2,4996.9209,21.027764,0.194810,50928,12734.5
24,12.0,4,4996.9209,21.027764,0.194810,50932,12825.2
24,12.0,8,4996.9209,21.027764,0.194810,50932,12718.4
24,12.0,16,4996.9209,21.027764,0.194810,50932,13960.0
24,12.0,32,4996.9209,21.027764,0.194810,50932,12772.6
24,12.0,64,4996.9209,21.027764,0.194810,50932,13290.3
24,12.0,128,4996.9209,21.027764,0.194810,50932,12756.2
36,18.0,1,4450.0000,18.714144,0.170236,1223,79.7
36,18.0,2,4450.0000,18.714144,0.170236,1223,80.5
36,18.0,4,4450.0000,18.714144,0.170236,1223,80.3
36,18.0,8,4450.0000,18.714144,0.170236,1223,119.4
36,18.0,16,4450.0000,18.714144,0.170236,1223,85.4
36,18.0,32,4450.0000,18.714144,0.170236,1223,79.6
36,18.0,64,4450.0000,18.714144,0.170236,1223,88.0
36,18.0,128,4450.0000,18.714144,0.170236,1223,79.0
