t_depart,hour,distance,survival,nodes_explored,runtime_ms
0,0.00,4450.0000,0.170236,1339,116.5
2,1.00,4450.0000,0.170236,1223,87.5
4,2.00,4450.0000,0.170236,1223,78.3
6,3.00,4450.0000,0.170236,1223,78.1
8,4.00,4450.0000,0.170236,1223,78.2
10,5.00,4450.0000,0.170236,1223,125.4
12,6.00,4450.0000,0.103588,1136,69.5
14,7.00,4450.0000,0.103588,1136,69.8
16,8.00,4450.0000,0.103588,1136,69.9
18,9.00,4450.0000,0.103588,1136,69.9
20,10.00,4450.0000,0.103588,1136,70.5
22,11.00,4450.0000,0.103588,1136,70.1
24,12.00,4996.9209,0.194810,50932,12900.5
26,13.00,4996.9209,0.194810,50932,12577.1
28,14.00,4996.9209,0.194810,50932,13000.3
30,15.00,4996.9209,0.194810,50932,12527.5
32,16.00,4996.9209,0.194810,50932,12678.9
34,17.00,4996.9209,0.194810,50932,12584.3
36,18.00,4450.0000,0.170236,1223,80.8
38,19.00,4450.0000,0.170236,1223,81.2
40,20.00,4450.0000,0.170236,1223,80.5
42,21.00,4450.0000,0.170236,1223,81.8
44,22.00,4450.0000,0.170236,1223,100.3
46,23.00,4450.0000,0.170236,1223,87.7
