od,max_labels,status,path_length,objective_cost,runtime_ms,nodes_explored
diagonal,1,success,6293.2504,35.253292,28.2,1347
diagonal,2,success,6293.2504,35.253292,27.9,1347
diagonal,4,success,6293.2504,35.253292,27.8,1347
diagonal,6,success,6293.2504,35.253292,28.1,1347
diagonal,8,success,6293.2504,35.253292,28.1,1347
diagonal,12,success,6293.2504,35.253292,27.8,1347
diagonal,16,success,6293.2504,35.253292,28.0,1347
diagonal,24,success,6293.2504,35.253292,28.3,1347
diagonal,32,success,6293.2504,35.253292,40.3,1347
diagonal,50,success,6293.2504,35.253292,28.6,1347
diagonal,100,success,6293.2504,35.253292,28.0,1347
cross_center,1,success,4450.0000,24.924985,27.2,819
cross_center,2,success,4450.0000,24.924985,26.6,819
cross_center,4,success,4450.0000,24.924985,26.9,819
cross_center,6,success,4450.0000,24.924985,26.7,819
cross_center,8,success,4450.0000,24.924985,27.2,819
cross_center,12,success,4450.0000,24.924985,26.7,819
cross_center,16,success,4450.0000,24.924985,26.9,819
cross_center,24,success,4450.0000,24.924985,27.1,819
cross_center,32,success,4450.0000,24.924985,27.3,819
cross_center,50,success,4450.0000,24.924985,26.9,819
cross_center,100,success,4450.0000,24.924985,27.1,819
short_hop,1,success,4242.6407,23.766411,19.1,912
short_hop,2,success,4242.6407,23.766411,19.1,912
short_hop,4,success,4242.6407,23.766411,18.9,912
short_hop,6,success,4242.6407,23.766411,19.0,912
short_hop,8,success,4242.6407,23.766411,18.8,912
short_hop,12,success,4242.6407,23.766411,19.1,912
short_hop,16,success,4242.6407,23.766411,21.7,912
short_hop,24,success,4242.6407,23.766411,28.7,912
short_hop,32,success,4242.6407,23.766411,18.6,912
short_hop,50,success,4242.6407,23.766411,18.6,912
short_hop,100,success,4242.6407,23.766411,18.7,912
