t_depart,hour,k,distance,objective_cost,survival,nodes_explored,runtime_ms
0,0.0,1,4450.0000,18.714144,0.170236,1337,111.6
0,0.0,2,4450.0000,18.714144,0.170236,1339,105.2
0,0.0,4,4450.0000,18.714144,0.170236,1339,118.2
0,0.0,8,4450.0000,18.714144,0.170236,1339,120.5
0,0.0,16,4450.0000,18.714144,0.170236,1339,134.0
0,0.0,32,4450.0000,18.714144,0.170236,1339,117.2
0,0.0,64,4450.0000,18.714144,0.170236,1339,109.9
0,0.0,128,4450.0000,18.714144,0.170236,1339,103.4
24,12.0,1,4996.9209,21.027764,0.194810,50357,12562.0
24,12.0,2,4996.9209,21.027764,0.194810,50928,13614.4
24,12.0,4,4996.9209,21.027764,0.194810,50932,13120.7
24,12.0,8,4996.9209,21.027764,0.194810,50932,12593.8
24,12.0,16,4996.9209,21.027764,0.194810,50932,13057.3
24,12.0,32,4996.9209,21.027764,0.194810,50932,12776.4
24,12.0,64,4996.9209,21.027764,0.194810,50932,14864.5
24,12.0,128,4996.9209,21.027764,0.194810,50932,14263.7
36,18.0,1,4450.0000,18.714144,0.170236,1223,96.4
36,18.0,2,4450.0000,18.714144,0.170236,1223,76.6
36,18.0,4,4450.0000,18.714144,0.170236,1223,77.5
36,18.0,8,4450.0000,18.714144,0.170236,1223,77.7
36,18.0,16,4450.0000,18.714144,0.170236,1223,82.7
36,18.0,32,4450.0000,18.714144,0.170236,1223,78.9
36,18.0,64,4450.0000,18.714144,0.170236,1223,82.4
36,18.0,128,4450.0000,18.714144,0.170236,1223,78.2
