t_depart,hour,distance,survival,nodes_explored,runtime_ms
0,0.00,4450.0000,0.170236,1339,100.4
2,1.00,4450.0000,0.170236,1223,100.2
4,2.00,4450.0000,0.170236,1223,77.6
6,3.00,4450.0000,0.170236,1223,76.3
8,4.00,4450.0000,0.170236,1223,77.6
10,5.00,4450.0000,0.170236,1223,77.4
12,6.00,4450.0000,0.103588,1136,67.5
14,7.00,4450.0000,0.103588,1136,72.5
16,8.00,4450.0000,0.103588,1136,68.3
18,9.00,4450.0000,0.103588,1136,67.9
20,10.00,4450.0000,0.103588,1136,69.0
22,11.00,4450.0000,0.103588,1136,68.2
24,12.00,4996.9209,0.194810,50932,13262.4
26,13.00,4996.9209,0.194810,50932,13714.4
28,14.00,4996.9209,0.194810,50932,13637.6
30,15.00,4996.9209,0.194810,50932,14190.1
32,16.00,4996.9209,0.194810,50932,13756.7
34,17.00,4996.9209,0.194810,50932,14154.6
36,18.00,4450.0000,0.170236,1223,113.2
38,19.00,4450.0000,0.170236,1223,79.8
40,20.00,4450.0000,0.170236,1223,113.3
42,21.00,4450.0000,0.170236,1223,111.4
44,22.00,4450.0000,0.170236,1223,111.9
46,23.00,4450.0000,0.170236,1223,118.4
