od_idx,start_x,start_y,goal_x,goal_y,dist_euclidean,path_changed,low_noise,high_noise,low_length,high_length,low_survival,high_survival,low_fatality,high_fatality
0,5,39,34,7,43.2,True,0.486571,0.092285,440.1219,445.9798,0.298151,0.286088,0.00746183,0.00220817
1,50,16,17,14,33.1,True,0.005166,0.004896,338.2843,338.2843,0.289246,0.288607,0.00163034,0.00163234
2,21,13,22,45,32.0,False,0.000144,0.000144,324.1421,324.1421,0.293693,0.293693,0.00003389,0.00003389
3,27,51,27,18,33.0,False,0.004909,0.004909,330.0000,330.0000,0.277033,0.277033,0.00167825,0.00167825
4,6,30,18,17,17.7,False,0.002278,0.002278,179.7056,179.7056,0.615166,0.615166,0.00086371,0.00086371
5,17,46,44,15,41.1,True,0.001999,0.002000,433.5534,433.5534,0.278223,0.278429,0.00048417,0.00048444
6,26,51,41,16,38.1,False,0.001107,0.001107,412.1320,412.1320,0.256250,0.256130,0.00026445,0.00026442
7,46,44,15,30,34.0,True,0.001462,0.001462,367.9899,367.9899,0.300270,0.300029,0.00035504,0.00035493
8,44,16,17,13,27.2,True,0.004036,0.003842,282.4264,282.4264,0.361920,0.361561,0.00128055,0.00128165
9,28,15,14,48,35.8,True,0.001861,0.001722,387.9899,387.9899,0.285177,0.284976,0.00050226,0.00050302
10,15,41,31,18,28.0,True,0.001436,0.001436,296.2742,296.2742,0.410406,0.410310,0.00038175,0.00038165
11,52,19,31,31,24.2,False,0.000775,0.000775,259.7056,259.7056,0.446478,0.446478,0.00019073,0.00019073
12,32,8,23,34,27.5,False,0.000000,0.000000,319.7056,319.7056,0.354939,0.354939,0.00000000,0.00000000
13,50,16,37,43,30.0,True,0.002157,0.002104,323.8478,323.8478,0.358385,0.356389,0.00072281,0.00072311
14,23,29,38,28,15.0,False,0.000270,0.000270,154.1421,154.1421,0.548803,0.548803,0.00006627,0.00006627
15,46,11,18,17,28.6,True,0.003359,0.003226,304.8528,304.8528,0.349004,0.348145,0.00103796,0.00103906
16,23,5,26,24,19.2,False,0.122173,0.122173,202.4264,202.4264,0.485529,0.485529,0.00392864,0.00392864
17,34,33,19,26,16.6,False,0.000473,0.000473,178.9949,178.9949,0.551897,0.551897,0.00011814,0.00011814
18,30,46,8,35,24.6,False,0.001984,0.001984,265.5635,265.5635,0.435642,0.435642,0.00060277,0.00060277
19,9,18,27,45,32.4,True,0.002030,0.002028,344.5584,344.5584,0.360230,0.360213,0.00051681,0.00051686
20,21,29,33,42,17.7,False,0.001358,0.001358,191.4214,191.4214,0.554897,0.554897,0.00035737,0.00035737
22,51,24,26,6,30.8,True,0.021796,0.021764,324.5584,324.5584,0.390475,0.389995,0.00071081,0.00071053
23,32,52,25,26,26.9,True,0.000449,0.000448,288.9949,288.9949,0.364690,0.364413,0.00013857,0.00013846
24,45,29,17,30,28.0,True,0.000000,0.000000,284.1421,284.1421,0.332489,0.332396,0.00000000,0.00000000
25,53,8,50,29,21.2,False,0.177491,0.177491,222.4264,222.4264,0.455218,0.455218,0.00476748,0.00476748
26,28,5,49,42,42.5,False,0.000922,0.000921,456.9848,456.9848,0.244207,0.243940,0.00021951,0.00021927
27,52,8,13,29,44.3,True,0.001848,0.001848,476.9848,476.9848,0.226855,0.226882,0.00097813,0.00097817
28,47,20,19,47,38.9,False,0.003292,0.003292,391.8377,391.8377,0.339140,0.339140,0.00079463,0.00079463
29,5,52,14,20,33.2,False,0.002539,0.002539,357.2792,357.2792,0.300626,0.300626,0.00108976,0.00108976
30,21,49,46,21,37.5,True,0.003099,0.003024,383.5534,383.5534,0.339715,0.339239,0.00076179,0.00076236
31,45,37,42,16,21.2,True,0.003832,0.003593,222.4264,222.4264,0.452939,0.452182,0.00120225,0.00120380
32,33,11,7,26,30.0,True,0.002677,0.002564,322.1320,322.1320,0.375535,0.374986,0.00106069,0.00106161
33,19,12,31,48,37.9,True,0.000546,0.000545,409.7056,409.7056,0.249561,0.249655,0.00013494,0.00013487
34,17,13,48,6,31.8,True,0.002994,0.002855,338.9949,338.9949,0.312341,0.312265,0.00091770,0.00092008
35,6,47,8,13,34.1,False,0.003989,0.003989,348.2843,348.2843,0.280698,0.280698,0.00292251,0.00292251
36,49,23,27,37,26.1,True,0.002036,0.001919,277.9899,277.9899,0.424659,0.423601,0.00054925,0.00054977
37,33,51,51,18,37.6,False,0.001852,0.001852,404.5584,404.5584,0.285922,0.285734,0.00082198,0.00082180
38,43,39,17,12,37.5,True,0.119357,0.119268,383.5534,383.5534,0.337573,0.337321,0.00185392,0.00185263
39,45,42,23,19,31.8,False,0.002239,0.002239,326.9848,326.9848,0.391835,0.391835,0.00057607,0.00057607
40,13,42,40,19,35.5,True,0.000984,0.000984,371.1270,371.1270,0.336999,0.336730,0.00023659,0.00023653
41,26,53,11,32,25.8,False,0.002114,0.002114,272.1320,272.1320,0.454247,0.454247,0.00127030,0.00127030
42,10,12,31,12,21.0,False,0.002445,0.002445,210.0000,210.0000,0.453793,0.453793,0.00081483,0.00081483
43,6,28,40,31,34.1,False,0.000000,0.000000,352.4264,352.4264,0.266133,0.266133,0.00000000,0.00000000
44,48,18,27,14,21.4,True,0.004034,0.003787,226.5685,226.5685,0.454482,0.453803,0.00121238,0.00121399
45,17,30,35,37,19.3,True,0.000776,0.000699,208.9949,208.9949,0.491999,0.491897,0.00019093,0.00019125
46,20,6,7,54,49.7,True,0.000505,0.000505,533.8478,533.8478,0.162775,0.162860,0.00018231,0.00018235
47,38,50,49,9,42.4,False,0.000600,0.000600,455.5635,455.5635,0.211364,0.211364,0.00021480,0.00021480
48,5,47,14,12,36.1,True,0.004011,0.003929,387.2792,387.2792,0.268909,0.268479,0.00118437,0.00118530
49,52,13,47,44,31.4,False,0.003981,0.003981,330.7107,330.7107,0.311815,0.311815,0.00111065,0.00111065
50,15,49,36,28,29.7,False,0.002814,0.002814,302.8427,302.8427,0.426497,0.426497,0.00067481,0.00067481
51,29,6,48,20,23.6,False,0.003215,0.003215,247.9899,247.9899,0.490067,0.490067,0.00234943,0.00234943
52,18,5,18,22,17.0,False,0.128963,0.128963,170.0000,170.0000,0.527464,0.527464,0.00443728,0.00443728
53,7,37,12,18,19.6,False,0.002052,0.002052,210.7107,210.7107,0.490361,0.490361,0.00126161,0.00126161
54,28,37,14,51,19.8,False,0.002828,0.002828,197.9899,197.9899,0.588201,0.588201,0.00067222,0.00067222
55,30,28,42,15,17.7,False,0.000733,0.000733,179.7056,179.7056,0.603877,0.603877,0.00017997,0.00017997
56,19,51,40,52,21.0,False,0.431718,0.431718,214.1421,214.1421,0.454818,0.454818,0.00841408,0.00841408
57,36,11,42,49,38.5,False,0.001010,0.001010,404.8528,404.8528,0.236216,0.236216,0.00023704,0.00023704
58,11,19,44,11,34.0,False,0.000882,0.000882,363.1371,363.1371,0.286617,0.286617,0.00023168,0.00023168
59,53,10,6,42,56.9,True,0.003152,0.003152,602.5483,602.5483,0.165305,0.165399,0.00105409,0.00105410
