label,step,cum_distance,p_survival,survival_margin,altitude_m,building_height_m,clearance_m,climb_rate,descent_rate,alt_margin,battery_margin
8,0,0.0000,1.000000,0.990000,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,1,14.1421,0.962511,0.952511,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,2,28.2843,0.926695,0.916695,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,3,42.4264,0.891324,0.881324,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,4,56.5685,0.857692,0.847692,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,5,70.7107,0.825330,0.815330,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,6,84.8528,0.793242,0.783242,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,7,98.9949,0.762243,0.752243,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,8,113.1371,0.731837,0.721837,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,9,127.2792,0.701434,0.691434,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,10,141.4214,0.671394,0.661394,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,11,155.5635,0.641016,0.631016,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,12,169.7056,0.608740,0.598740,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,13,183.8478,0.577705,0.567705,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,14,197.9899,0.544746,0.534746,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,15,212.1320,0.512286,0.502286,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,16,226.2742,0.478703,0.468703,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,17,240.4163,0.446528,0.436528,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,18,254.5584,0.417954,0.407954,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,19,268.7006,0.389437,0.379437,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,20,282.8427,0.363635,0.353635,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,21,296.9848,0.341717,0.331717,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,22,311.1270,0.323041,0.313041,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,23,325.2691,0.306333,0.296333,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,24,339.4113,0.291628,0.281628,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,25,353.5534,0.278390,0.268390,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,26,367.6955,0.266259,0.256259,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,27,381.8377,0.255337,0.245337,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,28,395.9798,0.245388,0.235388,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,29,410.1219,0.235563,0.225563,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,30,424.2641,0.226566,0.216566,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,31,438.4062,0.217835,0.207835,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,32,452.5483,0.209601,0.199601,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,33,466.6905,0.201754,0.191754,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,34,480.8326,0.194111,0.184111,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
8,35,494.9747,0.186781,0.176781,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,0,0.0000,1.000000,0.990000,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,1,14.1421,0.963215,0.953215,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,2,28.2843,0.927217,0.917217,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,3,42.4264,0.891844,0.881844,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,4,56.5685,0.858056,0.848056,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,5,70.7107,0.825761,0.815761,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,6,84.8528,0.793383,0.783383,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,7,98.9949,0.761530,0.751530,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,8,113.1371,0.728669,0.718669,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,9,127.2792,0.695459,0.685459,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,10,141.4214,0.657298,0.647298,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,11,155.5635,0.618957,0.608957,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,12,169.7056,0.572764,0.562764,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,13,183.8478,0.523411,0.513411,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
12,14,197.9899,0.462838,0.452838,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
