t_depart,hour,k,distance,objective_cost,survival,nodes_explored,runtime_ms
0,0.0,1,4450.0000,18.714144,0.170236,1337,95.8
0,0.0,2,4450.0000,18.714144,0.170236,1339,98.2
0,0.0,4,4450.0000,18.714144,0.170236,1339,97.6
0,0.0,8,4450.0000,18.714144,0.170236,1339,97.7
0,0.0,16,4450.0000,18.714144,0.170236,1339,97.5
0,0.0,32,4450.0000,18.714144,0.170236,1339,109.4
0,0.0,64,4450.0000,18.714144,0.170236,1339,101.4
0,0.0,128,4450.0000,18.714144,0.170236,1339,101.2
24,12.0,1,4996.9209,21.027764,0.194810,50357,13365.7
24,12.0,2,4996.9209,21.027764,0.194810,50928,13529.7
24,12.0,4,4996.9209,21.027764,0.194810,50932,14156.6
24,12.0,8,4996.9209,21.027764,0.194810,50932,13515.6
24,12.0,16,4996.9209,21.027764,0.194810,50932,13453.1
24,12.0,32,4996.9209,21.027764,0.194810,50932,13281.9
24,12.0,64,4996.9209,21.027764,0.194810,50932,14127.8
24,12.0,128,4996.9209,21.027764,0.194810,50932,14255.2
36,18.0,1,4450.0000,18.714144,0.170236,1223,95.1
36,18.0,2,4450.0000,18.714144,0.170236,1223,92.0
36,18.0,4,4450.0000,18.714144,0.170236,1223,94.0
36,18.0,8,4450.0000,18.714144,0.170236,1223,93.0
36,18.0,16,4450.0000,18.714144,0.170236,1223,100.2
36,18.0,32,4450.0000,18.714144,0.170236,1223,88.5
36,18.0,64,4450.0000,18.714144,0.170236,1223,89.4
36,18.0,128,4450.0000,18.714144,0.170236,1223,81.6
