t_depart,hour,distance,survival,nodes_explored,runtime_ms
0,0.00,4450.0000,0.170236,1339,99.0
2,1.00,4450.0000,0.170236,1223,81.2
4,2.00,4450.0000,0.170236,1223,81.2
6,3.00,4450.0000,0.170236,1223,81.1
8,4.00,4450.0000,0.170236,1223,81.3
10,5.00,4450.0000,0.170236,1223,81.2
12,6.00,4450.0000,0.103588,1136,71.3
14,7.00,4450.0000,0.103588,1136,79.5
16,8.00,4450.0000,0.103588,1136,71.0
18,9.00,4450.0000,0.103588,1136,70.8
20,10.00,4450.0000,0.103588,1136,70.8
22,11.00,4450.0000,0.103588,1136,70.8
24,12.00,4996.9209,0.194810,50932,13197.7
26,13.00,4996.9209,0.194810,50932,13073.5
28,14.00,4996.9209,0.194810,50932,13863.1
30,15.00,4996.9209,0.194810,50932,13547.1
32,16.00,4996.9209,0.194810,50932,13406.8
34,17.00,4996.9209,0.194810,50932,13813.1
36,18.00,4450.0000,0.170236,1223,81.7
38,19.00,4450.0000,0.170236,1223,81.9
40,20.00,4450.0000,0.170236,1223,81.4
42,21.00,4450.0000,0.170236,1223,81.4
44,22.00,4450.0000,0.170236,1223,81.5
46,23.00,4450.0000,0.170236,1223,81.3
